ent,mun,est,icpth
0,0,1,63695.458
0,0,2,440.34
0,0,3,62971.163
0,0,4,64419.753
0,0,5,0.691
1,0,1,78287.885
1,0,2,2364.182
1,0,3,74399.152
1,0,4,82176.619
1,0,5,3.02
1,1,1,85827.968
1,1,2,2949.323
1,1,3,80976.763
1,1,4,90679.174
1,1,5,3.436
1,2,1,51501.936
1,2,2,4276.69
1,2,3,44467.406
1,2,4,58536.466
1,2,5,8.304
1,3,1,61377.494
1,3,2,4260.808
1,3,3,54369.089
1,3,4,68385.899
1,3,5,6.942
1,4,1,52027.901
1,4,2,4390.966
1,4,3,44805.405
1,4,4,59250.398
1,4,5,8.44
1,5,1,71077.025
1,5,2,5685.7
1,5,3,61724.88
1,5,4,80429.17
1,5,5,7.999
1,6,1,58021.388
1,6,2,3510.002
1,6,3,52247.949
1,6,4,63794.827
1,6,5,6.049
1,7,1,64773.253
1,7,2,4916.267
1,7,3,56686.713
1,7,4,72859.793
1,7,5,7.59
1,8,1,48214.081
1,8,2,5048.2
1,8,3,39910.532
1,8,4,56517.631
1,8,5,10.47
1,9,1,51720.346
1,9,2,4598.32
1,9,3,44156.784
1,9,4,59283.909
1,9,5,8.891
1,10,1,55553.98
1,10,2,4254.923
1,10,3,48555.254
1,10,4,62552.706
1,10,5,7.659
1,11,1,58753.458
1,11,2,1226.43
1,11,3,56736.16
1,11,4,60770.755
1,11,5,2.087
2,0,1,88912.224
2,0,2,2059.814
2,0,3,85524.132
2,0,4,92300.316
2,0,5,2.317
2,1,1,79740.331
2,1,2,3153.543
2,1,3,74553.215
2,1,4,84927.448
2,1,5,3.955
2,2,1,87984.429
2,2,2,3207.579
2,2,3,82708.432
2,2,4,93260.426
2,2,5,3.646
2,3,1,87303.311
2,3,2,6107.718
2,3,3,77257.009
2,3,4,97349.613
2,3,5,6.996
2,4,1,95333.837
2,4,2,3175.27
2,4,3,90110.983
2,4,4,100556.692
2,4,5,3.331
2,5,1,80628.934
2,5,2,5092.782
2,5,3,72252.054
2,5,4,89005.814
2,5,5,6.316
2,6,1,35524.897
2,6,2,3943.55
2,6,3,29038.336
2,6,4,42011.459
2,6,5,11.101
3,0,1,91417.118
3,0,2,2439.952
3,0,3,87403.754
3,0,4,95430.482
3,0,5,2.669
3,1,1,66984.207
3,1,2,4313.181
3,1,3,59889.656
3,1,4,74078.758
3,1,5,6.439
3,2,1,67238.953
3,2,2,4075.523
3,2,3,60535.314
3,2,4,73942.592
3,2,5,6.061
3,3,1,88430.234
3,3,2,2726.053
3,3,3,83946.277
3,3,4,92914.192
3,3,5,3.083
3,8,1,105223.373
3,8,2,4134.652
3,8,3,98422.477
3,8,4,112024.27
3,8,5,3.929
3,9,1,69609.171
3,9,2,5650.019
3,9,3,60315.717
3,9,4,78902.626
3,9,5,8.117
4,0,1,57458.386
4,0,2,1762.024
4,0,3,54560.115
4,0,4,60356.657
4,0,5,3.067
4,1,1,50884.969
4,1,2,2052.99
4,1,3,47508.101
4,1,4,54261.837
4,1,5,4.035
4,2,1,63346.302
4,2,2,2769.669
4,2,3,58790.601
4,2,4,67902.003
4,2,5,4.372
4,3,1,70845.678
4,3,2,4222.317
4,3,3,63900.585
4,3,4,77790.771
4,3,5,5.96
4,4,1,46040.474
4,4,2,2171.581
4,4,3,42468.541
4,4,4,49612.406
4,4,5,4.717
4,5,1,45509.04
4,5,2,3496.406
4,5,3,39757.963
4,5,4,51260.117
4,5,5,7.683
4,6,1,42267.871
4,6,2,2540.839
4,6,3,38088.562
4,6,4,46447.179
4,6,5,6.011
4,7,1,45761.527
4,7,2,4817.407
4,7,3,37837.599
4,7,4,53685.456
4,7,5,10.527
4,8,1,44569.961
4,8,2,4665.35
4,8,3,36896.144
4,8,4,52243.778
4,8,5,10.467
4,9,1,41863.476
4,9,2,3279.567
4,9,3,36469.069
4,9,4,47257.884
4,9,5,7.834
4,10,1,33396.025
4,10,2,2570.311
4,10,3,29168.239
4,10,4,37623.81
4,10,5,7.696
4,11,1,35760.828
4,11,2,2892.185
4,11,3,31003.607
4,11,4,40518.049
4,11,5,8.088
4,12,1,44926.044
4,12,2,4719.937
4,12,3,37162.439
4,12,4,52689.65
4,12,5,10.506
5,0,1,75125.834
5,0,2,1362.112
5,0,3,72885.359
5,0,4,77366.309
5,0,5,1.813
5,1,1,55277.836
5,1,2,5819.868
5,1,3,45705.005
5,1,4,64850.667
5,1,5,10.528
5,2,1,67240.055
5,2,2,2887.189
5,2,3,62491.051
5,2,4,71989.058
5,2,5,4.294
5,3,1,61230.096
5,3,2,6399.521
5,3,3,50703.82
5,3,4,71756.372
5,3,5,10.452
5,4,1,61612.802
